epoch,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
300,0.653827,0.220716,0.433111,200000,10.1626
301,0.652445,0.22056,0.431885,200000,10.5779
302,0.650824,0.220123,0.430701,200000,10.2164
303,0.650648,0.219808,0.43084,200000,10.7099
304,0.648019,0.219087,0.428932,200000,10.7384
305,0.646589,0.218797,0.427791,200000,10.7663
306,0.642912,0.217899,0.425012,200000,9.85668
307,0.643746,0.217992,0.425754,200000,10.2219
308,0.64139,0.217307,0.424083,200000,10.3585
309,0.637408,0.216191,0.421217,200000,10.3537
310,0.637312,0.216192,0.42112,200000,10.0933
311,0.636622,0.215758,0.420864,200000,11.1559
312,0.633853,0.215441,0.418412,200000,10.8369
313,0.632799,0.215078,0.417721,200000,10.1096
314,0.631289,0.214763,0.416526,200000,10.3782
315,0.631259,0.214732,0.416526,200000,10.2953
316,0.631304,0.214901,0.416403,200000,10.9156
317,0.632663,0.215151,0.417513,200000,10.4118
318,0.63078,0.214709,0.416071,200000,10.4285
319,0.627803,0.21375,0.414053,200000,10.5278
320,0.62374,0.213081,0.410659,200000,10.4404
321,0.62268,0.212533,0.410147,200000,10.781
322,0.622816,0.213013,0.409803,200000,10.3397
323,0.620334,0.212097,0.408238,200000,10.9605
324,0.619843,0.211957,0.407886,200000,10.3865
325,0.621891,0.212692,0.409198,200000,10.8195
326,0.618483,0.211782,0.406701,200000,10.7946
327,0.619338,0.211967,0.407371,200000,10.1746
328,0.618402,0.211613,0.406789,200000,11.2586
329,0.617467,0.211375,0.406091,200000,10.7227
330,0.618273,0.211514,0.406759,200000,10.304
331,0.612217,0.210288,0.401929,200000,10.591
332,0.612675,0.210323,0.402352,200000,10.6883
333,0.612652,0.210255,0.402397,200000,10.8095
334,0.610201,0.209627,0.400574,200000,10.3993
335,0.608319,0.208931,0.399388,200000,10.4005
336,0.611669,0.209942,0.401726,200000,10.422
337,0.609574,0.209464,0.40011,200000,10.4915
338,0.606723,0.208697,0.398026,200000,10.8772
339,0.607466,0.208957,0.398509,200000,10.6533
340,0.604849,0.208374,0.396475,200000,10.693
341,0.60625,0.20864,0.39761,200000,10.4053
342,0.603594,0.207914,0.39568,200000,10.0122
343,0.603669,0.207961,0.395708,200000,10.9834
344,0.601365,0.207244,0.39412,200000,10.4291
345,0.602034,0.20733,0.394704,200000,10.7867
346,0.601934,0.207167,0.394767,200000,10.7163
347,0.601803,0.207203,0.3946,200000,11.0118
348,0.600094,0.206791,0.393304,200000,10.8442
349,0.600677,0.207196,0.39348,200000,10.5817
350,0.600071,0.207058,0.393013,200000,10.4075
351,0.596535,0.205908,0.390626,200000,10.968
352,0.598816,0.20663,0.392187,200000,10.4477
353,0.595347,0.20546,0.389886,200000,10.7176
354,0.595956,0.205652,0.390304,200000,10.6412
355,0.596058,0.205786,0.390272,200000,10.389
356,0.594676,0.20559,0.389087,200000,10.7963
357,0.593673,0.205453,0.38822,200000,10.2392
358,0.589788,0.204407,0.385381,200000,10.1643
359,0.590582,0.20457,0.386012,200000,10.6891
360,0.592194,0.205202,0.386992,200000,9.90639
361,0.59054,0.204547,0.385994,200000,10.6437
362,0.591247,0.204857,0.38639,200000,10.5151
363,0.590466,0.204551,0.385915,200000,10.283
364,0.586435,0.203812,0.382623,200000,10.4294
365,0.586903,0.203797,0.383105,200000,10.6508
366,0.585723,0.203624,0.382099,200000,9.99346
367,0.586341,0.203756,0.382585,200000,10.1393
368,0.585023,0.203419,0.381603,200000,10.1792
369,0.583805,0.203054,0.380751,200000,9.67198
370,0.584122,0.203034,0.381087,200000,10.392
371,0.582052,0.202512,0.37954,200000,10.4902
372,0.582009,0.202402,0.379607,200000,10.7843
373,0.584192,0.203226,0.380965,200000,10.6384
374,0.579811,0.20193,0.37788,200000,10.1584
375,0.581148,0.202474,0.378674,200000,10.6723
376,0.578844,0.201709,0.377135,200000,9.96249
377,0.579379,0.202138,0.377241,200000,10.9998
378,0.579017,0.202025,0.376991,200000,10.6188
379,0.576914,0.201235,0.375679,200000,10.2773
380,0.576123,0.20098,0.375143,200000,10.2537
381,0.577842,0.201607,0.376234,200000,10.3037
382,0.575888,0.201025,0.374862,200000,10.6466
383,0.576461,0.201092,0.375369,200000,10.1544
384,0.57276,0.200316,0.372444,200000,10.3897
385,0.574809,0.200871,0.373938,200000,10.4224
386,0.575689,0.201218,0.374471,200000,10.8209
387,0.572321,0.200111,0.372211,200000,10.7687
388,0.571403,0.200107,0.371296,200000,10.844
389,0.572646,0.200309,0.372337,200000,10.3546
390,0.572127,0.200264,0.371863,200000,10.1804
391,0.570729,0.199729,0.371,200000,11.0837
392,0.569645,0.199434,0.370211,200000,10.5726
393,0.571529,0.200199,0.37133,200000,10.7693
394,0.57151,0.200263,0.371247,200000,10.9409
395,0.567545,0.198974,0.368571,200000,10.4747
396,0.569671,0.199834,0.369836,200000,10.4126
397,0.564478,0.198591,0.365887,200000,10.5735
398,0.564901,0.198674,0.366227,200000,10.4689
399,0.56427,0.198578,0.365692,200000,9.6768
400,0.564477,0.19844,0.366037,200000,9.92277
401,0.563957,0.19834,0.365617,200000,10.9826
402,0.563395,0.19817,0.365225,200000,10.3829
403,0.563925,0.198443,0.365482,200000,10.806
404,0.560935,0.197577,0.363359,200000,11.2372
405,0.56156,0.197602,0.363958,200000,9.81763
406,0.561246,0.197748,0.363497,200000,10.4754
407,0.559496,0.19708,0.362416,200000,10.0156
408,0.560396,0.197565,0.362831,200000,10.2591
409,0.559491,0.197501,0.361989,200000,10.7616
410,0.557166,0.196846,0.360319,200000,10.5244
411,0.557392,0.196772,0.360619,200000,10.8438
412,0.557604,0.196941,0.360664,200000,11.068
413,0.557015,0.196746,0.360269,200000,10.3554
414,0.555407,0.196603,0.358804,200000,10.5892
415,0.552882,0.195616,0.357266,200000,10.5754
416,0.554806,0.196368,0.358438,200000,11.0473
417,0.552471,0.195797,0.356674,200000,10.3641
418,0.553142,0.195908,0.357234,200000,10.2342
419,0.55402,0.196112,0.357908,200000,10.6494
420,0.553942,0.195899,0.358043,200000,10.596
421,0.552567,0.195405,0.357161,200000,10.7674
422,0.554015,0.195856,0.358159,200000,10.0954
423,0.552221,0.195333,0.356888,200000,10.4557
424,0.54977,0.195006,0.354764,200000,10.7215
425,0.54798,0.194456,0.353524,200000,10.8324
426,0.549734,0.195189,0.354545,200000,10.5007
427,0.549192,0.194962,0.35423,200000,9.85133
428,0.548214,0.194601,0.353613,200000,10.6678
429,0.548814,0.194744,0.35407,200000,9.7912
430,0.546505,0.194029,0.352476,200000,10.7659
431,0.548076,0.19451,0.353566,200000,10.551
432,0.546919,0.194088,0.352831,200000,10.4556
433,0.545855,0.193845,0.35201,200000,9.73281
434,0.544652,0.193578,0.351074,200000,10.924
435,0.545459,0.19373,0.351729,200000,10.6853
436,0.544756,0.19352,0.351236,200000,10.3237
437,0.544836,0.19352,0.351316,200000,10.3896
438,0.544335,0.193394,0.350941,200000,10.223
439,0.544423,0.193454,0.350969,200000,9.98277
440,0.542989,0.193154,0.349835,200000,10.5889
441,0.543763,0.193492,0.350271,200000,10.6685
442,0.542032,0.192938,0.349094,200000,10.1286
443,0.542964,0.193425,0.349539,200000,10.2942
444,0.54185,0.19284,0.349011,200000,10.4606
445,0.541667,0.19314,0.348527,200000,10.3466
446,0.541167,0.192911,0.348256,200000,10.3434
447,0.542461,0.193333,0.349129,200000,9.87706
448,0.539615,0.192265,0.34735,200000,10.8141
449,0.540671,0.192807,0.347865,200000,10.99
450,0.540317,0.192837,0.34748,200000,10.779
451,0.538318,0.192042,0.346276,200000,9.92321
452,0.5398,0.192653,0.347147,200000,10.294
453,0.538834,0.19225,0.346584,200000,10.4125
454,0.539135,0.192483,0.346652,200000,10.3632
455,0.539959,0.192672,0.347287,200000,10.2714
456,0.53994,0.192462,0.347478,200000,10.5298
457,0.537,0.191698,0.345302,200000,11.2147
458,0.536004,0.191494,0.344511,200000,10.3866
459,0.538389,0.192582,0.345807,200000,10.4624
460,0.535358,0.19149,0.343868,200000,10.9325
461,0.534626,0.191548,0.343077,200000,10.8177
462,0.535885,0.191919,0.343967,200000,10.3702
463,0.536407,0.191804,0.344603,200000,10.3127
464,0.535239,0.191809,0.343431,200000,10.7688
465,0.535565,0.191859,0.343706,200000,10.8545
466,0.534504,0.191412,0.343092,200000,10.7173
467,0.535323,0.191451,0.343872,200000,11.1381
468,0.536488,0.191927,0.34456,200000,10.4798
