epoch,train_entropy,train_loss,train_loss_policy,train_loss_value,train_num_data,execution_time
216,3.29613,3.73774,3.28048,0.45726,9640,0.53797
217,3.295,3.73105,3.27835,0.452699,9640,0.56786
218,3.29262,3.7408,3.27439,0.46641,9968,0.58398
219,3.29045,3.73776,3.26926,0.468498,10168,0.63508
220,3.28605,3.73343,3.26905,0.46438,10168,0.65747
221,3.28007,3.76076,3.26121,0.499552,10240,0.61838
222,3.27701,3.75477,3.26028,0.494491,10240,0.6432
223,3.27514,3.75343,3.25914,0.494288,10240,0.56977
224,3.2709,3.74706,3.25509,0.491974,10240,0.62449
225,3.26977,3.736,3.25393,0.482073,10240,0.63643
226,3.26746,3.73497,3.25275,0.48222,10240,0.6525
227,3.26695,3.73036,3.25163,0.478733,10240,0.62125
228,3.2609,3.72891,3.24654,0.482368,10240,0.59222
229,3.25997,3.74392,3.24301,0.500914,10240,0.62648
230,3.25702,3.7287,3.24189,0.486804,10240,0.62756
231,3.25409,3.74558,3.23781,0.507762,10240,0.58229
232,3.25179,3.74693,3.23677,0.510158,10240,0.56503
233,3.24957,3.74824,3.2344,0.51384,10240,0.50577
234,3.24874,3.7383,3.23361,0.504683,10240,0.61452
235,3.24324,3.72995,3.22756,0.502394,10240,0.64562
236,3.24137,3.72612,3.22668,0.49944,10240,0.62564
237,3.24029,3.71991,3.22562,0.494296,10240,0.62644
238,3.23656,3.7118,3.22044,0.491362,10240,0.66031
239,3.23325,3.70919,3.21926,0.48993,10240,0.59666
240,3.23338,3.70612,3.21828,0.487841,10240,0.63141
241,3.23056,3.69652,3.21788,0.478648,10240,0.5923
242,3.22749,3.70003,3.21106,0.488973,10240,0.58285
243,3.22474,3.69285,3.20962,0.483237,10240,0.66265
244,3.22303,3.68324,3.20897,0.474278,10240,0.61508
245,3.22343,3.68752,3.20792,0.479602,10240,0.64857
246,3.21944,3.68553,3.20569,0.479835,10240,0.66814
247,3.21858,3.69089,3.19976,0.491133,10240,0.58194
248,3.215,3.67815,3.19883,0.479321,10240,0.60187
249,3.21374,3.66936,3.19793,0.471424,10240,0.60711
250,3.20871,3.67351,3.19128,0.482235,10240,0.62116
251,3.20182,3.67804,3.18304,0.494997,10240,0.63163
252,3.19325,3.68388,3.1714,0.51248,10240,0.62905
253,3.187,3.67578,3.16796,0.507826,10240,0.58949
254,3.18486,3.66809,3.16403,0.504062,10240,0.58609
255,3.18141,3.66124,3.16166,0.499579,10240,0.5781
256,3.17754,3.64911,3.15949,0.489618,10240,0.63099
257,3.17728,3.66414,3.15846,0.505674,10240,0.62118
258,3.17378,3.65504,3.15771,0.497323,10240,0.56479
259,3.17483,3.64446,3.15669,0.487766,10240,0.55925
260,3.17127,3.63882,3.15442,0.484404,10240,0.60969
261,3.16581,3.63346,3.15233,0.48113,10240,0.62129
262,3.16407,3.61692,3.15102,0.465899,10240,0.58518
263,3.1614,3.63953,3.14456,0.494971,10240,0.56212
264,3.15827,3.63692,3.1441,0.49282,10240,0.6216
265,3.1547,3.63872,3.14079,0.497924,10240,0.58555
266,3.15124,3.63636,3.13125,0.505103,10240,0.58754
267,3.14673,3.64123,3.12721,0.514023,10240,0.5855
268,3.14417,3.62441,3.12614,0.498264,10240,0.71602
269,3.14433,3.62561,3.12551,0.500098,10240,0.74923
270,3.1347,3.63585,3.11318,0.522675,10240,0.6184
271,3.12969,3.632,3.10819,0.523813,10240,0.63099
272,3.12165,3.61887,3.1021,0.516769,10240,0.61652
273,3.12019,3.59984,3.10159,0.498254,10240,0.6229
274,3.11776,3.59996,3.10015,0.499814,10240,0.61243
275,3.11389,3.61152,3.09573,0.515791,10240,0.54556
276,3.11083,3.58322,3.09488,0.488335,10240,0.64471
277,3.10741,3.57562,3.08975,0.485865,10240,0.63951
278,3.10459,3.57439,3.08846,0.485926,10240,0.64867
279,3.10585,3.58241,3.08553,0.496883,10240,0.68437
280,3.10087,3.62003,3.08123,0.538803,10240,0.58584
281,3.09921,3.59435,3.07966,0.514698,10240,0.65713
282,3.09608,3.58345,3.07886,0.504587,10240,0.6078
283,3.09314,3.58909,3.07267,0.516425,10240,0.62089
284,3.08868,3.57871,3.07185,0.50686,10240,0.62357
285,3.08856,3.56826,3.07083,0.497425,10240,0.64905
286,3.08909,3.57472,3.06987,0.504857,10240,0.61651
287,3.08366,3.55362,3.06914,0.484478,10240,0.65519
288,3.08206,3.5671,3.06174,0.505351,10240,0.60893
289,3.06857,3.57949,3.04438,0.535109,10240,0.71825
290,3.05705,3.5807,3.03497,0.545732,10240,0.55261
291,3.0553,3.57783,3.03247,0.545361,10240,0.58979
292,3.05053,3.57815,3.03151,0.54665,10240,0.61541
293,3.04776,3.56056,3.02972,0.530834,10240,0.63089
294,3.04768,3.54995,3.02867,0.521287,10240,0.65456
295,3.04568,3.54159,3.02746,0.514128,10240,0.66637
296,3.04421,3.55875,3.02476,0.533987,10240,0.65782
297,3.04417,3.54675,3.02399,0.522758,10240,0.60549
298,3.03957,3.53427,3.02284,0.511434,10240,0.61364
299,3.03611,3.53865,3.01367,0.524977,10240,0.61675
300,3.0316,3.53792,3.01227,0.525652,10240,0.58009
301,3.02901,3.54924,3.01259,0.536647,10240,0.68187
302,3.02821,3.56472,3.01209,0.55263,10240,0.58576
303,3.02439,3.55959,3.00992,0.549673,10240,0.63545
304,3.02538,3.56505,3.01045,0.554607,10240,0.61111
305,3.02323,3.55249,3.00936,0.543129,10240,0.57985
306,3.02276,3.54483,3.00829,0.536537,10240,0.652
307,3.02212,3.53686,3.00723,0.529633,10240,0.61606
308,3.02055,3.52046,3.00621,0.514242,10240,0.57845
309,3.0195,3.52276,3.00533,0.517435,10240,0.60317
310,3.01787,3.51631,3.00312,0.513185,10240,0.60508
311,3.01885,3.5201,3.00198,0.518124,10240,0.60321
312,3.01555,3.50123,3.00149,0.499742,10240,0.69752
313,3.01688,3.50428,3.00022,0.504058,10240,0.59927
314,3.01539,3.48434,2.99921,0.485128,10240,0.50321
315,3.01411,3.48428,2.99937,0.484909,10240,0.54399
316,3.0123,3.47265,2.99866,0.473989,10240,0.55714
317,3.01399,3.48731,2.99881,0.488502,10240,0.62678
318,3.01399,3.49059,3.00075,0.489834,10240,0.63292
319,3.01449,3.48439,3.00212,0.482277,10240,0.67311
320,3.01255,3.49009,3.00038,0.489714,10240,0.6621
321,3.01696,3.48339,2.99711,0.486289,10240,0.66256
322,3.01179,3.47246,2.99648,0.475972,10240,0.64704
323,3.01073,3.46163,2.99554,0.466093,10240,0.60975
324,3.01048,3.46428,2.99532,0.468961,10240,0.5703
325,3.00743,3.46328,2.99445,0.468828,10240,0.61256
326,3.00925,3.45962,2.99402,0.465602,10240,0.58891
327,3.00679,3.46331,2.99169,0.471619,10240,0.61562
328,3.00668,3.4683,2.99145,0.476845,10240,0.63097
329,3.00515,3.46341,2.98956,0.473851,10240,0.66868
330,3.00279,3.45527,2.98388,0.471384,10240,0.54519
331,2.99927,3.46204,2.981,0.481045,10240,0.66356
332,3.0024,3.47681,2.98176,0.495055,10240,0.65126
333,3.0016,3.50132,2.98515,0.51617,10240,0.56917
334,3.00307,3.47933,2.98259,0.496745,10240,0.61895
335,2.99751,3.47615,2.98182,0.494339,10240,0.61978
336,2.99924,3.46991,2.98065,0.489263,10240,0.643
337,2.99609,3.46882,2.97964,0.489185,10240,0.62266
338,2.99667,3.45934,2.97849,0.480851,10240,0.59659
339,2.99538,3.47345,2.97676,0.496693,10240,0.58772
340,2.99257,3.51419,2.96949,0.544701,10240,0.62694
341,2.99187,3.51346,2.96806,0.545398,10240,0.5965
342,2.987,3.49288,2.96684,0.526042,10240,0.61619
343,2.98134,3.52232,2.96386,0.55846,10240,0.56009
344,2.97867,3.51986,2.96177,0.558093,10240,0.62859
345,2.97926,3.51253,2.96093,0.551603,10240,0.65263
346,2.97832,3.50657,2.95995,0.546619,10240,0.74165
347,2.97507,3.49633,2.95845,0.537879,10240,0.6129
348,2.97417,3.4802,2.95747,0.52273,10240,0.6163
349,2.96963,3.49857,2.95241,0.546161,10240,0.64119
350,2.97088,3.48545,2.95141,0.534044,10240,0.64785
351,2.9687,3.47154,2.95022,0.521324,10240,0.64241
352,2.96532,3.46405,2.94909,0.514964,10240,0.67307
353,2.96389,3.46917,2.94496,0.524208,10240,0.68284
354,2.96273,3.45345,2.94433,0.509123,10240,0.64579
355,2.96172,3.45166,2.94064,0.511019,10240,0.62065
356,2.95614,3.4462,2.93856,0.507638,10240,0.60284
357,2.95784,3.43633,2.93744,0.498897,10240,0.59754
358,2.95516,3.44659,2.93782,0.508776,10240,0.53531
359,2.95037,3.43484,2.93683,0.49801,10240,0.6036
